MSA,Pop_Total,Median_Rent,Median_Income,Median_Home_Value,wiki_url,wiki_thumb_url,Name
11700,469484,1121,64538,295000,"https://en.wikipedia.org/wiki/Asheville,_North_Carolina","https://en.wikipedia.org/wiki/Asheville,_North_Carolina#/media/File:Asheville_at_dusk_%28cropped%29.jpg","Asheville, NC"
11740,52522,815,62254,163600,"https://en.wikipedia.org/wiki/Ashland_County,_Ohio","https://en.wikipedia.org/wiki/Ashland_County,_Ohio#/media/File:Ashland-County-Ohio-Courthouse.jpg","Ashland, OH"
11780,97666,811,53663,139000,"https://en.wikipedia.org/wiki/Ashtabula,_Ohio","https://en.wikipedia.org/wiki/Ashtabula,_Ohio#/media/File:Ashtabula_West_5th_Street.jpg","Ashtabula, OH"
11820,41190,1096,68025,407700,"https://en.wikipedia.org/wiki/Astoria,_Oregon","https://en.wikipedia.org/wiki/Astoria,_Oregon#/media/File:Astoria_Oregon.jpg","Astoria, OR"
11860,16309,771,55281,123400,"https://en.wikipedia.org/wiki/Atchison,_Kansas","https://en.wikipedia.org/wiki/Atchison,_Kansas#/media/File:Atchison_County_Kansas_Incorporated_and_Unincorporated_areas_Atchison_Highlighted.svg","Atchison, KS"
11900,61276,907,48750,161700,"https://en.wikipedia.org/wiki/Athens,_Ohio","https://en.wikipedia.org/wiki/Athens,_Ohio#/media/File:Athens_oh_03.jpg","Athens, OH"
11940,53532,803,57982,173300,"https://en.wikipedia.org/wiki/Athens,_Tennessee","https://en.wikipedia.org/wiki/Athens,_Tennessee#/media/File:Mcminn-county-courthouse1.jpg","Athens, TN"
11980,82627,958,59778,159600,"https://en.wikipedia.org/wiki/Athens,_Texas","https://en.wikipedia.org/wiki/Athens,_Texas#/media/File:Athens%2C_TX%2C_City_Hall_IMG_0571.JPG","Athens, TX"
12020,216194,1028,59130,252300,"https://en.wikipedia.org/wiki/Athens,_Georgia","https://en.wikipedia.org/wiki/Athens,_Georgia#/media/File:Athens_Georgia_City_Hall_1.jpg","Athens-Clarke County, GA"
12060,6094752,1446,82625,299800,https://en.wikipedia.org/wiki/Metro_Atlanta,https://en.wikipedia.org/wiki/Metro_Atlanta#/media/File:Midtown_atlanta.jpg,"Atlanta-Sandy Springs-Alpharetta, GA"
12100,274339,1268,73113,254100,"https://en.wikipedia.org/wiki/Atlantic_County,_New_Jersey","https://en.wikipedia.org/wiki/Atlantic_County,_New_Jersey#/media/File:Atlantic-city-boardwalk-1376851506eVP.jpg","Atlantic City-Hammonton, NJ"
12120,36755,659,41153,122000,"https://en.wikipedia.org/wiki/Atmore,_Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama#/media/File:Atmoretrain10.jpg","Atmore, AL"
12140,43312,783,68110,157700,https://en.wikipedia.org/wiki/ERROR,,"Auburn, IN"
12180,76171,868,63227,158900,"https://en.wikipedia.org/wiki/Auburn,_New_York","https://en.wikipedia.org/wiki/Auburn,_New_York#/media/File:Genesee_Street_north_side_at_North_Street_Auburn.jpg","Auburn, NY"
12220,175126,953,59288,224400,"https://en.wikipedia.org/wiki/Opelika,_Alabama","https://en.wikipedia.org/wiki/Opelika,_Alabama#/media/File:Railroad_Avenue_Historic_District_Opelika_Alabama.JPG","Auburn-Opelika, AL"
12260,612898,1016,62941,186700,"https://en.wikipedia.org/wiki/Richmond_County,_Georgia","https://en.wikipedia.org/wiki/Richmond_County,_Georgia#/media/File:Augusta-Richmond_County_Municipal_Building%2C_May_2017_2.jpg","Augusta-Richmond County, GA-SC"
12300,124003,900,62118,198300,"https://en.wikipedia.org/wiki/Kennebec_County,_Maine","https://en.wikipedia.org/wiki/Kennebec_County,_Maine#/media/File:Kennebec_County_Courthouse.jpg","Augusta-Waterville, ME"
12380,40082,818,66972,158000,"https://en.wikipedia.org/wiki/Austin,_Minnesota","https://en.wikipedia.org/wiki/Austin,_Minnesota#/media/File:Austin_MN_collage.png","Austin, MN"
